,label,text
0,Non-Alcohol,"Methods and compositions for targeted delivery of biotherapeutics are provided. The compositions comprise bile-sensitive St. thermophilus bacteria modified to release a biotherapeutic agent following bile exposure. Biotherapeutic agents released by the St. thermophilus bacteria disclosed herein include AQ and AQR rich peptides. Methods of the invention comprise administering to a subject a St. thermophilus bacterium modified to release a biotherapeutic agent following bile exposure. Administration of the St. thermophilus bacterium promotes a desired therapeutic response. The bacterium may be modified to express and release AQ or AQR rich peptides which subsequently inhibit cellular apoptosis or reduce mucosal damage. Thus, methods of the invention find use in treating or preventing a variety of gastrointestinal disorders including C. difficile infection and antibiotic-associated diarrhea."
1,Alcohol,"The present invention provides a process for the production of aldehydes and/or alcohols, which process comprises the steps of: (a) reacting an oxygenate and/or olefinic feed in a reactor in the presence of a molecular sieve catalyst to form an effluent comprising olefins, comprising propylene; (b) separating the effluent comprising olefins as obtained in step (a) into at least a first olefinic product fraction comprising propylene and a second olefinic product fraction; (c) subjecting at least part of the first olefinic product fraction as obtained in step (b) to a hydroformylation process to form aldehydes; (d) separating at least part of the aldehydes as obtained in step (c) into at least a first product fraction of aldehydes and a second product fraction of aldehydes; and (e) hydrogenating at least part of the aldehydes in the first and/or second product fraction of aldehydes as obtained in step (d) to form a first product fraction of alcohols and/or a second product fraction of alcohols; (f) recycling at least part of the first and/or second product fraction of alcohols obtained in step (e) to step (a)."
2,Non Autonomous,"A battery charger is disposed above an exhaust pipe, and a junction box is disposed above the charger. The charger includes a cooler having a forced cooling function."
3,Autonomous,Self-driving vehicles have unlimited potential to learn and predict human behavior and perform actions accordingly. Several embodiments described herein enable a self-driving vehicle to monitor human activity and predict when and where the human will be located and whether the human needs a ride from the self-driving vehicle. Self-driving vehicles will be able to perform such tasks with incredible efficacy and accuracy that will allow self-driving vehicles to proliferate at a much faster rate than would otherwise be the case.
4,Non-Alcohol,"The present invention provides stabilized oil-in-water emulsions with an extended range of chemical, thermal and/or mechanical stabilities, and method(s) for their preparation. Such preparations provide an environmentally-protective biopolymer component exhibiting improved adherence to the dispersed phase, reducing or eliminating dissociation therefrom under such conditions, for use in the context of a range of food, pharmaceutical, personal care, health care, cosmetic and other end-use applications."
5,Alcohol,"The present invention relates to producing chemicals and biofuels from wood material, e.g. mixed forest biomass. Specifically, the invention concerns a process for conditioning spent liquor produced by SO2-ethanol-water (SEW) fractionation of wood chips for fermentation to butanol, ethanol and acetone/isopropanol (so called ABE process) by Clostridia bacteria."
6,Non Autonomous,"A method for requesting emergency assistance for a vehicle involved in an accident. The method includes the following: storing vehicle operating conditions prior to the accident in a storage device; detecting the accident; after the accident, deactivating charging of a smartphone being charged on a wireless charging pad; transmitting to the smartphone the vehicle operating conditions stored prior to the accident; transmitting the vehicle operating conditions from the smartphone to emergency authorities; and calling the emergency authorities using the smartphone and initiating handsfree communication with the emergency authorities."
7,Autonomous,"Apparatus for controlling a land vehicle which is self-driving or partially self-driving, comprising a coarse tuning assembly (1, 2, 3) and a fine tuning assembly (4), the coarse tuning assembly (1, 2, 3) comprising: (a) a sensor interface (1) which measures kinematic parameters including speed and braking, (b) fuzzy descriptions which model guidance, navigation and control of the vehicle, and which include: (i) driver behavior and driving dynamics, (ii) uncertainties due to weather, road conditions and traffic, and (iii) input faults including mechanical and electrical parts, and (c) an adaptive fuzzy logic controller (3), and the fine tuning assembly (4) comprising: (a) inputs from the coarse tuning assembly (1, 2, 3), (b) precognition horizons determining how many future samples of input sensor information are required for an optimum control sequence, (c) a linearized multi-input multi-output regression model extracted from the adaptive fuzzy logic controller (3), and (d) a non-linear dynamic linearized regression controller (4 a)."
8,Non-Alcohol,"A dairy-based yogurt product having a protein level above 15%, sometimes more than 25%, with a smooth and rich texture and no grittiness. The yogurt product includes a particular selection of dairy proteins and other ingredients to raise the gelation temperature of the dairy proteins and avoid causing gelation or precipitation during pasteurization. Additionally, pasteurization temperatures, times and methods are selected to avoid gelation. Starting dairy proteins generally have relatively higher pH levels and low total acidity (TA) levels to help reduce gelation during pasteurization. Ingredients such as buffering agents and sequestering agents may be utilized to help raise the gelation temperature, as well as higher sugar levels which can control hydration of the proteins."
9,Alcohol,"A cap for a liquor bottle can have an upper wall, a cylindrical outer wall and an internally threaded inner wall configured to be secured to an externally threaded neck of a liquor bottle. The cap can include a spout pivotally coupled to the upper wall comprising first and second parallel internal passageways extending longitudinally through the spout and configured to pivot between an open position and a closed position. An annular light ring can be positioned between the outer and inner walls and can include light sources configured to emit light downwardly toward an annular shoulder of the liquor bottle. The light sources can emit light in various different manners."
10,Non Autonomous,"A method for controlling a loudspeaker arrangement in a vehicle. The loudspeaker arrangement can be adjusted to at least an inoperative position, a projecting position, and an operating position. An operating state of the vehicle is detected and the loudspeaker arrangement is automatically adjusted between the inoperative position and the projecting position depending on the operating state of the vehicle. An operating state of an audio apparatus of the vehicle is detected and the loudspeaker arrangement is automatically adjusted between the projecting position and the operating position depending on the operating state of the audio apparatus."
11,Autonomous,"Unmanned vehicle to carry out an animal-related action, provided with a frame and a control device to control the vehicle and a locomotion device to move the unmanned vehicle, and with a protective device to protect the vehicle against obstacles, wherein the protective device includes a touchable electrical conductor which extends on the outside of, advantageously around, the vehicle, and a voltage source to supply voltage to the conductor under the control of the control device."
12,Non-Alcohol,"The present invention relates to pharmaceutical compositions suitable for the treatment of chronic diseases associated with the presence of abnormal or an abnormal distribution of microflora in the gastrointestinal tract of a mammalian host, which compositions comprise viable non-pathogenic or attenuated pathogenic Clostridia. The compositions further comprise one or more additional viable non-pathogenic or attenuated pathogenic microorganisms selected from the group consisting of Bacteroides, Eubacteria, Fusobacteria, Propionibacteria, Lactobacilli, anaerobic cocci, Ruminococcus, E. Coli, Gemmiger, Desulfamonas, Peptostreptococcus, and fungi. The present invention also provides pharmaceutical compositions suitable for the treatment of the same chronic diseases comprising viable non-pathogenic or attenuated pathogenic Escherichia coli, at least one strain of viable non-pathogenic or attenuated pathoenic Bacteroides and at least one strain of viable non-pathogenic or attenuated pathogenic microorganism."
13,Alcohol,"A process for producing alcohols from carbonaceous materials such as biomass. The carbonaceous material, such as biomass, is gasified to produce synthesis gas. The synthesis gas then is subjected to a plurality of reactions to produce alcohols having at least four carbon atoms such as butanol and isobutanol."
14,Non Autonomous,"Systems, methods and devices for monitoring an electric vehicle charging station (EVCS) are disclosed. A security system is disclosed for monitoring an EVCS having an electrical connector for electrically coupling to an electric vehicle. The security system includes a camera for recording images of a surrounding area of the EVCS. A sensor detects objects near the EVCS and/or detects removal of the electrical connector from the EVCS. A controller, which is operatively coupled to the camera and the sensor, is configured to: receive sensor signals output from the sensor; responsive to the sensor signals indicating that an object is near the EVCS or the electrical connector is removed from the EVCS: direct the camera to record images of the surrounding area of the EVCS; output to a user the images of the surrounding area of the EVCS; and, receive user command signals to control the EVCS and/or the security system."
15,Autonomous,"A method is provided for unmanned control of at least one vehicle by a central processing unit. The central processing unit controls the at least one vehicle on a route determined by the central processing unit from a first location on the route to at least one second location on the route. The second location on the route is a parking site. The central processing unit further controls the vehicle so that the vehicle, after a parking operation at the second location, is provided automatically to a user for acceptance at a retrieval location as further location on the route. The route is calculated by the central processing unit dynamically depending on information concerning further routes for further vehicles managed by the central processing unit."
16,Non-Alcohol,A carbonator tank assembly is disclosed for use in a beverage machine wherein the beverage dispensed therefrom is a carbonated beverage. The carbonator tank includes walls defining a carbonator tank interior. A probe assembly is provided for coupling in a gaseous and fluid-type manner to the walls of the carbonator tank. The probe assembly has no floats but includes elongated probes having removed ends configured to extend into the interior of the carbonator tank and near ends exposed exteriorly. An electronics module is adapt to fluidly enclose an electronics assembly therein. The electronics module includes walls adapted to receive an electrical cable carrying electrical energy from a remote source.
17,Alcohol,"A process for producing alcohols having three carbon atoms from carbonaceous materials such as biomass. The carbonaceous material, such as biomass, is gasified to produce synthesis gas. The synthesis gas then is subjected to a plurality of reactions to produce alcohols such as n-propanol and isopropanol."
18,Non Autonomous,"An apparatus for managing power in an electric vehicle includes a control circuit and a first switch. The control circuit is configured to generate a first control signal based on a current of a battery operable for powering the electric vehicle, and to generate a second control signal based on a voltage of the battery. The first switch is configured to control connection of the battery to a power source and a load in the electric vehicle according to the first control signal. The first control signal controls a voltage at a terminal of the first switch to maintain the current of the battery to be substantially equal to a current setting, and the second control signal controls the battery to switch between a first state and a second state."
19,Autonomous,"This patent application discloses methods and systems for alerting computerized motor-vehicles about predicted accidents. In an example method, a motor vehicle alerts another motor vehicle about a predicted accident, even though that accident is between the alerting car and a third motor vehicleâfor example, the alert is transmitted by non-visual electromagnetic (EM) radiation. When an adjacent motor vehicle receives such accident alert and determines it might itself be hit, it will react so as to minimize its chances of being hit or at least to minimize the damage if it is being hit."
20,Non-Alcohol,A bottled drink includes a cap and a bottle where a granular supplement containing multiple constituents in a stable manner is stored in the cap and a solution suitable for dispersing the granules is filled in the bottle. Granules which contains mutually incompatible multiple chemical agents or nutritional constituents and whose surface is coated with polyglyceryl fatty acid ester are stored in the cap of the bottle and the bottle is filled with a solution whose viscosity at a shear deformation speed of 0.01 sâ1 is 10 to 300 PaÂ·s.
21,Alcohol,"A process for the production of glucose from a pretreated lignocellulosic feedstock is provided. The method comprises enzymatically hydrolyzing the pretreated lignocellulosic feedstock with cellulase enzymes to produce a hydrolyzate slurry comprising glucose and unhydrolyzed cellulose and fermenting the hydrolyzate slurry in a fermentation reaction to produce a fermentation broth comprising alcohol. A process stream is obtained comprising unhydrolyzed cellulose, which is then subjected to a denaturing step, preferably comprising exposing the unhydrolyzed cellulose to elevated temperatures, thereby producing a heat-treated stream comprising the unhydrolyzed cellulose. The heat-treated stream comprising unhydrolyzed cellulose is then further hydrolyzed with cellulase enzymes to hydrolyze the cellulose to glucose."
22,Non Autonomous,"A vehicle having a battery mounted thereon is provided. The battery includes a cell group having a plurality of cells, each of the cells including an electrolytic solution and a power-generating element within a case of cylindrical shape, and a holding member holding each of the cells in a diameter direction of the cell, wherein the cell group is placed in an area inside an edge of the holding member when viewed from a height direction of the vehicle. Each of the cells can be arranged to extend in the height direction of the vehicle. The holding member may be a heat dissipation plate allowing heat exchange between the cells."
23,Autonomous,"A device comprising a first plate disposed on top of a second plate where the first and second plates are parallel and separated by a fixed distance with a spacer, and wherein the spacer fits around the perimeter of the first and second plates creating a void space, and wherein the second plate has a plurality of pin-sized holes, and wherein a pump sits in the void space and is operably coupled to the plates, wherein the plates are operably coupled to the bottom, exterior hull of an Unmanned Underwater Vehicle (UUV), and wherein the pump is configured to pump liquid into the void space between the parallel plates."
24,Non-Alcohol,"The present invention provides protein hydrolysate compositions, processes for making protein hydrolysate compositions, and food products comprising protein hydrolysate compositions. The protein hydrolysate compositions generally comprise polypeptide fragments having primarily either an arginine residue or a lysine residue at each carboxyl terminus."
25,Alcohol,"The present invention describes a process for the production of alcohol, known as second generation production, from a lignocellulosic substrate, in which a controlled quantity of furfural is produced in situ and which comprises at least the following steps: a first step for alkaline chemical pre-treatment of the substrate; a step for adjusting the pH of the substrate; then a step for enzymatic hydrolysis of said pre-treated substrate; a step for alcoholic fermentation of the hydrolysate obtained with an alcohol-producing microorganism; a step for separation/purification; and a step for acid conversion of at least one liquid fraction into furfural, said liquid fraction being obtained during one of the preceding steps; a step for mixing said furfural obtained with the pre-treated substrate during the pH adjusting step."
26,Non Autonomous,"A lithium-ion cell includes outgoing conductor foils and collectors. The outgoing conductor foil of a negative electrode of the lithium-ion cell consists of an aluminum foil which is covered on both sides with a metal layer. The collector for the negative electrode has an aluminum workpiece, which is at least partially covered with a metal layer. The metal layers of the outgoing conductor foil and of the collector consist of copper or nickel."
27,Autonomous,"A computer-implemented method, system, and/or computer program product controls a driving mode of a self-driving vehicle (SDV). One or more processors compare a control processor competence level of the on-board SDV control processor that autonomously controls the SDV to a human driver competence level of a human driver in controlling the SDV while the SDV experiences the current operational anomaly. One or more processors then selectively assign control of the SDV to the on-board SDV control processor or to the human driver while the SDV experiences the current operational anomaly based on which of the control processor competence level and the human driver competence level is relatively higher to the other."
28,Non-Alcohol,"Apparatus, including a carbonation chamber, is provided that includes a mixing and metering member and a gas adjustment member. The mixing and metering member is configured to respond to a fluid, including water, and an adjustable amount of gas, including CO2, and may be configured to provide a mixture of the fluid and the gas. The gas adjustment member is configured to receive the gas, including from a gas inlet, and to provide the adjustable amount of gas to the mixing and metering member, based at least partly on an adjustable axial relationship between the mixing and metering member and the gas adjustment member in order to control a desired carbonation level of the mixture."
29,Alcohol,"A device for brewing beer, particularly a wort pan (1), with a container body (2) to receive a wort reservoir (3) is described. The device contains an internal boiler (4) arranged in the container body (2), which is provided with a heat exchanger (5) and a guiding screen (8). Furthermore a wort forced flow (10) provided with a pump is also provided, which runs through the boiler (4). In order to increase the efficiency of the device, the wort forced flow (10) has a thin-layer distributor (17) for the wort, which contains a pipe subsection (11 b) connected with the pump, which subsection leads above the guiding screen (8) via an outlet opening (13) with reduced outlet cross-section into the container body (2). Furthermore, above the outlet opening (13), a flow-guiding baffle surface (15) is provided, at which the flow arrives from below, to deflect the liquid towards the wort reservoir (3)."
30,Non Autonomous,"Systems and methods for providing a user with information on spaces in which to park a vehicle are provided. A method for providing a user with information on spaces in which to park a vehicle, comprises identifying one or more spaces in which to park the vehicle, selecting valid spaces from the identified one or more spaces based on a validation criteria, and ranking the valid spaces and providing a ranked list of the valid spaces to the user, wherein the identifying, selecting, ranking and providing steps are performed by a computer system comprising a memory and at least one processor coupled to the memory."
31,Autonomous,"An unmanned wheeled vehicle is configured to clean a first floor surface at a first height level, while supported on a second floor surface at a second height level, wherein the first height level is higher than the second height level. The vehicle comprises a main body comprising a support side and a cleaning side, and a support device to support the main body on the second floor surface, wherein the main body comprises at the cleaning side a contact cleaning device configured to clean the first floor surface. A tilting device tilts the main body between a tilted position in which the cleaning side of the main body can be moved over the first floor surface without contact between the contact cleaning device and the first floor surface, and a cleaning position, in which the contact cleaning device is in contact with the first floor surface."
32,Non-Alcohol,A method of preparing soybean mixed powder comprising a soybean powder having properties wherein formation of agglomerate is small when the powder is added to water and then heated with stirring to dissolve the powder.
